id,value
id_0,27.1142812175556
id_1,63.399957581511664
id_2,21.324003080969199
id_3,28.051664286371551
id_4,11.023326318121782
id_5,31.67177824390199
id_6,38.936056068575894
id_7,16.252105203332668
id_8,46.771518417385025
id_9,32.425457595586259
id_10,39.236880248540011
id_11,59.936772462180357
id_12,34.468183278816483
id_13,37.138259623983949
id_14,25.370748645524316
id_15,13.716463941639148
id_16,49.455658505157203
id_17,22.009775776520982
id_18,17.203960555417588
id_19,17.282761318391504
id_20,13.425124700709519
id_21,24.975697456010288
id_22,36.864197293597016
id_23,12.536832552306484
id_24,61.009421576793955
id_25,44.474090624015979
id_26,27.772506759498963
id_27,10.370781201032912
id_28,29.24852560941094
id_29,34.333514591714604
id_30,14.494385979560779
id_31,11.119402930209821
id_32,17.207216500791734
id_33,4.7581963264179929
id_34,19.166451613193864
id_35,36.551477845861832
id_36,21.197343078652594
id_37,28.535835690616619
id_38,4.0753921085657936
id_39,62.322858062800989
id_40,46.467309885844074
id_41,20.136519065563053
id_42,50.846210231968463
id_43,19.644193912123615
id_44,43.706795919354718
id_45,48.608137436420691
id_46,59.978455038306549
id_47,40.480806312978501
id_48,52.006310858278042
id_49,40.545177486187512
id_50,30.882649569484169
id_51,23.724725515358113
id_52,41.521237220436007
id_53,25.929103045001945
id_54,38.293559863564525
id_55,39.314411791180596
id_56,24.997746259568824
id_57,21.51480234852033
id_58,36.075118004389743
id_59,30.967664779656005
id_60,11.65200244532371
id_61,23.636089869379944
id_62,31.227528571256187
id_63,55.740909352613855
id_64,49.830760546638373
id_65,26.968388331713189
id_66,40.052604842000875
id_67,53.972226740854154
id_68,27.772046346886011
id_69,36.965038771043837
id_70,65.832040961753336
id_71,51.001263204664227
id_72,43.566966706112552
id_73,10.578221507844145
id_74,11.565819390254436
id_75,34.264555146414743
id_76,62.454096770987022
id_77,5.9823399133710202
id_78,41.613732054633623
id_79,38.612570055619585
id_80,7.7423185135387618
id_81,20.490787931954252
id_82,8.5407810583420591
id_83,33.623751986635959
id_84,9.4903256503474047
id_85,6.320119543976559
id_86,15.070923437304224
id_87,12.322452986871983
id_88,15.853335469762005
id_89,25.225021182281409
id_90,28.316218748206619
id_91,9.8723453263093575
id_92,14.99568656248049
id_93,10.125258142042256
id_94,34.448902656968343
id_95,18.418561080591708
id_96,13.432106795916834
id_97,7.1598573516565995
id_98,8.9696111091558972
id_99,7.2377970228489446
id_100,12.59952740339412
id_101,19.442051927387432
id_102,8.5572260715696249
id_103,4.8867651453014753
id_104,15.375102473250999
id_105,34.701908515668343
id_106,26.76281223786091
id_107,11.542171631803585
id_108,17.231454928576412
id_109,17.407806200814541
id_110,13.378969605833735
id_111,13.234394497002199
id_112,13.829560266665208
id_113,25.506409512218468
id_114,22.79342749927536
id_115,15.206583298588184
id_116,13.187692122398577
id_117,41.655536194414395
id_118,29.06597780898921
id_119,4.4583339028663778
id_120,2.6623422966086596
id_121,12.415114352287226
id_122,14.197197643998441
id_123,13.873262329031366
id_124,5.3088203807198724
id_125,25.922161753190725
id_126,22.959573750354949
id_127,13.004077231686257
id_128,17.794887120214863
id_129,16.409337467905321
id_130,4.0503877422144274
id_131,35.170368801017567
id_132,17.086993031850955
id_133,24.864517270247347
id_134,23.902405771168226
id_135,21.009536440059701
id_136,12.781579857635551
id_137,21.232533505593945
id_138,83.379914497552448
id_139,61.599059611400421
id_140,27.458686627394144
id_141,13.829969160123714
id_142,24.078363862376413
id_143,9.7318908135243909
id_144,14.339209312306803
id_145,10.636929757425214
id_146,21.046874411006183
id_147,7.0812845634941901
id_148,13.751155965005818
id_149,16.262086194576742
id_150,48.240732394973563
id_151,18.411049407596984
id_152,22.990632496678689
id_153,13.415836011393351
id_154,16.67303597262919
id_155,27.840821692788968
id_156,16.510468609400405
id_157,33.549320576429054
id_158,7.0122447846023146
id_159,14.83601974562281
id_160,43.402195565006465
id_161,18.1481549306829
id_162,57.484317480907443
id_163,18.962016149450992
id_164,37.347090267456991
id_165,25.136282102780484
id_166,21.181416883724872
id_167,1.1546003323863827
id_168,67.859590122441602
id_169,18.760602054519691
id_170,17.603038900867823
id_171,72.978137967346072
id_172,16.799474865090378
id_173,5.1669504189826085
id_174,24.858114136693299
id_175,1.6333213540100102
id_176,8.4127007587525569
id_177,21.322155320784162
id_178,20.89891690061302
id_179,19.41776236541277
id_180,42.762777477554963
id_181,27.051465823525319
id_182,29.831571698036107
id_183,14.544905360364858
id_184,6.55847261743296
id_185,41.717281090330722
id_186,35.986724298362944
id_187,30.744479877551615
id_188,15.391012773023945
id_189,21.667165151756304
id_190,12.818091265383654
id_191,13.32998545904368
id_192,32.592352478073188
id_193,75.548095136896507
id_194,30.564946028909404
id_195,12.431913343218897
id_196,63.114303263193051
id_197,16.715371456330026
id_198,18.951239968673441
id_199,23.959738597314686
id_200,166.16043824832053
id_201,26.802634366557488
id_202,59.52978497710032
id_203,8.5157244611230709
id_204,60.447735215891207
id_205,30.696328233855471
id_206,14.370049725629134
id_207,17.056269199728124
id_208,66.400112122784464
id_209,16.360859315583138
id_210,29.101318615298592
id_211,70.076606915442028
id_212,21.425846656379246
id_213,64.541922954108372
id_214,38.021165972367598
id_215,71.477905659073286
id_216,107.47862631156767
id_217,74.167652256586763
id_218,28.063971359381728
id_219,19.623545140858791
id_220,32.560318864220505
id_221,51.189019929185157
id_222,28.36341063557262
id_223,40.420066849826576
id_224,42.327085579004155
id_225,6.7833132628684236
id_226,6.2804104419507878
id_227,75.849209234832486
id_228,26.370392509923938
id_229,1.4514258139716101
id_230,39.101034649957896
id_231,14.825069332685059
id_232,19.977248123014075
id_233,5.4163830753863849
id_234,14.150064993118601
id_235,18.992325142632716
id_236,12.487443131310119
id_237,2.9717562832398818
id_238,23.342670037319369
id_239,1.6214117480951442
